ARTEFACT	Artifact;Unknown;Unknown;Unknown
SINE/tRNA-Deu-I	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Deu-I-end
SINE/tRNA-Deu-L2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Deu-L2-end
SINE/tRNA-Deu-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Deu-RTE-end
SINE/tRNA-Deu	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Deu
SINE/tRNA-Meta	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Meta
SINE/MIR	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-MIR-L2-end
SINE/tRNA-Mermaid	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-MIR-Mermaid
SINE/tRNA-Core-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-MIR-RTE-end
SINE/tRNA-Core	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-MIR
SINE/RTE-BovB	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-BovB-end
SINE/tRNA-CR1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-CR1-end
SINE/tRNA-I	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-I-end
SINE/tRNA-Jockey	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Jockey-end
SINE/tRNA-L1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-L1-dependent
SINE/tRNA-L2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-L2-end
SINE/R1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-R1-end
SINE/tRNA-R2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-R2-end
SINE/tRNA-Rex	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Rex-end
SINE/tRNA-RTE	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-RTE-end
SINE/tRNA-Tad1	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Tad1_End
SINE/tRNA	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Unknown-LINE
SINE/ID	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-ID
SINE/B2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-B2
SINE/tRNA-Sauria-L2	Class_I;SINE;SINE-tRNA_Promoter;SINE-tRNA-Sauria-L2-end
